"Object","Close-Approach (CA) Date","CA DistanceNominal (au)","CA DistanceMinimum (au)","V relative(km/s)","V infinity(km/s)","H(mag)","Diameter","Rarity"
"(2023 OQ3)","2023-Aug-01 06:46 ± < 00:01","0.01007","0.01006","9.78","9.75","25.1","26 m -   57 m","1"
"(2023 QR2)","2023-Aug-01 12:07 ±    01:39","0.01994","0.01956","7.29","7.27","25.9","17 m -   39 m","0"
"(2023 OD5)","2023-Aug-01 17:19 ± < 00:01","0.03544","0.03525","18.22","18.21","24.2","39 m -   86 m","0"
"(2023 OS3)","2023-Aug-01 20:49 ± < 00:01","0.00643","0.00642","4.82","4.73","27.7","7.5 m -   17 m","0"
"(2006 SY5)","2023-Aug-02 04:47 ± < 00:01","0.18451","0.18451","5.33","5.33","22.0","110 m -  240 m","0"
"(2018 MC7)","2023-Aug-02 08:27 ±    02:51","0.18836","0.18705","9.98","9.98","26.2","15 m -   34 m","0"
"(2023 OF1)","2023-Aug-02 10:25 ± < 00:01","0.04543","0.04511","10.73","10.73","24.9","28 m -   63 m","0"
"(2023 QM1)","2023-Aug-02 16:48 ±    00:10","0.04872","0.04833","7.59","7.58","25.5","21 m -   47 m","0"
"(2023 PH)","2023-Aug-02 17:35 ± < 00:01","0.15258","0.15245","18.24","18.24","21.6","130 m -  290 m","0"
"510190 (2011 CX7)","2023-Aug-02 19:06 ± < 00:01","0.14940","0.14940","9.23","9.23","20.5","220 m -  480 m","0"
"(2023 OY4)","2023-Aug-02 19:48 ± < 00:01","0.00815","0.00812","17.64","17.62","25.3","23 m -   52 m","1"
"154993 (2005 EA94)","2023-Aug-03 02:50 ± < 00:01","0.09663","0.09663","19.43","19.43","18.0","0.828±0.050 km","1"
"(2023 OW4)","2023-Aug-03 04:13 ±    00:05","0.00378","0.00377","9.68","9.61","27.8","7.4 m -   17 m","0"
"(2020 PN1)","2023-Aug-03 13:02 ± < 00:01","0.02776","0.02776","4.84","4.82","25.4","22 m -   48 m","0"
"(2023 QU3)","2023-Aug-03 17:28 ±    00:10","0.10357","0.10219","8.88","8.87","24.4","36 m -   80 m","0"
"(2023 YT)","2023-Aug-03 19:32 ±    01:02","0.12635","0.12617","4.66","4.66","26.2","15 m -   34 m","0"
"(2023 PY)","2023-Aug-03 20:01 ± < 00:01","0.11917","0.11911","11.25","11.25","22.4","86 m -  190 m","0"
"(2023 MN)","2023-Aug-03 20:15 ± < 00:01","0.14290","0.14288","8.02","8.01","22.8","75 m -  170 m","0"
"(2023 PD)","2023-Aug-03 23:34 ± < 00:01","0.02958","0.02953","7.04","7.03","24.9","28 m -   62 m","0"
"(2023 QV)","2023-Aug-04 03:03 ±    00:08","0.06062","0.06002","10.75","10.75","24.5","34 m -   76 m","0"
"(2020 OH5)","2023-Aug-04 08:27 ± 2_21:10","0.10986","0.03865","12.40","12.40","24.2","38 m -   86 m","0"
"620082 (2014 QL433)","2023-Aug-04 10:05 ± < 00:01","0.03575","0.03575","20.62","20.62","19.9","280 m -  630 m","1"
"(2023 OG5)","2023-Aug-04 19:35 ±    00:01","0.05446","0.05404","17.72","17.72","24.2","38 m -   86 m","0"
"(2023 OR5)","2023-Aug-04 21:44 ± < 00:01","0.01903","0.01901","7.45","7.43","25.2","24 m -   54 m","0"
"(2023 MP2)","2023-Aug-04 22:29 ± < 00:01","0.09890","0.09890","15.18","15.18","20.6","200 m -  450 m","0"
"(2014 OA339)","2023-Aug-05 01:13 ± < 00:01","0.14657","0.14657","13.95","13.95","24.4","34 m -   77 m","0"
"(2023 OF)","2023-Aug-05 02:45 ± < 00:01","0.08899","0.08847","10.02","10.02","24.5","34 m -   76 m","0"
"(2021 UP)","2023-Aug-05 04:50 ± < 00:01","0.14691","0.14691","8.15","8.15","25.6","20 m -   45 m","0"
"154244 (2002 KL6)","2023-Aug-05 06:12 ± < 00:01","0.06361","0.06361","6.99","6.98","17.6","810 m -  1.8 km","2"
"(2021 NX)","2023-Aug-05 07:43 ± < 00:01","0.08037","0.08037","4.20","4.20","25.3","23 m -   51 m","0"
"(2023 OE)","2023-Aug-05 10:17 ± < 00:01","0.13497","0.13495","5.39","5.39","24.3","38 m -   84 m","0"
"(2016 NK39)","2023-Aug-05 13:20 ±    09:19","0.14296","0.13560","5.90","5.90","23.9","45 m -  100 m","0"
"(2023 PK1)","2023-Aug-05 16:55 ±    00:02","0.03848","0.03821","10.15","10.14","25.5","22 m -   48 m","0"
"68548 (2001 XR31)","2023-Aug-05 17:44 ± < 00:01","0.12106","0.12106","14.18","14.18","16.6","1.182±0.038 km","2"
"(2023 OF5)","2023-Aug-05 20:39 ± < 00:01","0.13022","0.12749","37.14","37.14","21.0","170 m -  370 m","0"
"(2020 MP2)","2023-Aug-05 21:30 ± < 00:01","0.08688","0.08688","9.10","9.09","22.2","95 m -  210 m","0"
"(2023 PL)","2023-Aug-05 23:13 ± < 00:01","0.03884","0.03861","19.56","19.56","22.3","91 m -  200 m","1"
"(2023 PF)","2023-Aug-06 03:26 ± < 00:01","0.10418","0.10395","13.15","13.15","22.6","82 m -  180 m","0"
"(2023 OW2)","2023-Aug-06 05:00 ± < 00:01","0.09843","0.09804","17.38","17.38","23.5","54 m -  120 m","0"
"(2002 CB19)","2023-Aug-06 09:18 ± < 00:01","0.09045","0.09045","18.00","18.00","25.2","25 m -   55 m","0"
"(2023 OQ)","2023-Aug-06 11:02 ± < 00:01","0.02540","0.02539","21.32","21.31","21.9","110 m -  250 m","1"
"(2023 PR)","2023-Aug-06 12:43 ± < 00:01","0.01560","0.01556","5.12","5.09","24.5","33 m -   74 m","0"
"(2021 CT1)","2023-Aug-06 13:19 ±    00:01","0.13995","0.13995","6.27","6.26","25.3","23 m -   51 m","0"
"(2004 KG1)","2023-Aug-06 15:16 ± < 00:01","0.05086","0.05086","9.08","9.07","24.0","43 m -   96 m","0"
"(2023 PN)","2023-Aug-06 17:14 ± < 00:01","0.02128","0.02128","7.62","7.61","25.1","26 m -   58 m","0"
"(2024 JQ1)","2023-Aug-07 00:53 ±    01:45","0.10467","0.10448","2.46","2.45","27.1","10 m -   23 m","0"
"(2023 QF1)","2023-Aug-07 02:06 ±    00:46","0.12373","0.12152","7.72","7.71","23.9","43 m -   96 m","0"
"(2023 PT)","2023-Aug-07 13:30 ±    00:20","0.00355","0.00354","7.49","7.39","27.1","10 m -   23 m","0"
"(2005 QA5)","2023-Aug-07 15:14 ± < 00:01","0.19726","0.19726","2.84","2.84","21.3","150 m -  330 m","0"
"(2023 HX4)","2023-Aug-07 15:22 ± < 00:01","0.15130","0.15130","15.12","15.12","20.0","270 m -  600 m","0"
"(2023 NO1)","2023-Aug-07 20:11 ± < 00:01","0.11485","0.11485","6.66","6.65","22.7","77 m -  170 m","0"
"(2023 PO1)","2023-Aug-08 12:41 ±    00:06","0.00663","0.00659","8.42","8.37","26.3","15 m -   33 m","0"
"(2023 QN5)","2023-Aug-09 00:06 ±    01:30","0.03584","0.03538","7.60","7.59","24.5","33 m -   74 m","0"
"(2023 OH5)","2023-Aug-09 02:02 ±    00:03","0.16445","0.16440","4.31","4.31","23.8","46 m -  100 m","0"
"(2020 PL2)","2023-Aug-09 03:36 ± < 00:01","0.18240","0.18239","18.31","18.31","23.1","65 m -  150 m","0"
"(2023 OG11)","2023-Aug-09 17:09 ± < 00:01","0.08473","0.08453","6.98","6.98","25.2","25 m -   55 m","0"
"(2023 PU)","2023-Aug-09 22:29 ± < 00:01","0.02083","0.02078","7.95","7.94","27.1","9.9 m -   22 m","0"
"(2023 RE)","2023-Aug-10 09:53 ±    00:03","0.15973","0.15964","5.06","5.05","23.3","59 m -  130 m","0"
"(2023 PO)","2023-Aug-10 10:04 ± < 00:01","0.03776","0.03754","8.00","7.99","25.9","18 m -   40 m","0"
"(2021 GR18)","2023-Aug-10 10:33 ± 2_12:15","0.10882","0.10505","9.59","9.59","22.9","68 m -  150 m","0"
"(2022 OQ)","2023-Aug-10 13:32 ± 1_10:51","0.19865","0.19698","5.95","5.94","24.9","28 m -   62 m","0"
"(2024 CG4)","2023-Aug-10 16:18 ±    05:48","0.13807","0.13379","19.34","19.34","23.6","49 m -  110 m","0"
"(2020 DU4)","2023-Aug-11 00:46 ± 7_22:58","0.18765","0.15032","8.20","8.20","23.6","51 m -  110 m","0"
"(2023 FJ1)","2023-Aug-11 05:17 ±    02:32","0.18719","0.18619","6.14","6.14","25.1","26 m -   58 m","0"
"(2015 ME131)","2023-Aug-11 06:57 ± < 00:01","0.05588","0.05588","16.55","16.55","19.7","310 m -  690 m","1"
"(2023 QB)","2023-Aug-11 12:16 ± < 00:01","0.05973","0.05973","22.22","22.22","20.8","190 m -  410 m","1"
"(2022 BS2)","2023-Aug-11 20:11 ±    05:05","0.04434","0.04182","8.22","8.21","25.4","23 m -   51 m","0"
"(2023 OR2)","2023-Aug-12 01:30 ±    00:02","0.09909","0.09888","4.09","4.08","24.8","30 m -   66 m","0"
"(2020 QF2)","2023-Aug-12 02:57 ± 3_14:04","0.06742","0.03922","9.29","9.29","27.9","7.0 m -   16 m","0"
"(2016 CA138)","2023-Aug-12 04:17 ± < 00:01","0.19387","0.19386","15.21","15.21","23.3","58 m -  130 m","0"
"(2023 QD)","2023-Aug-12 11:48 ±    00:06","0.00851","0.00849","7.56","7.52","26.7","12 m -   27 m","0"
"(2020 QA)","2023-Aug-12 12:53 ± < 00:01","0.19655","0.19655","14.48","14.48","22.8","74 m -  170 m","0"
"(2023 BW)","2023-Aug-12 13:44 ±    00:35","0.18459","0.18435","6.13","6.13","24.5","34 m -   76 m","0"
"(2020 XH1)","2023-Aug-12 13:57 ± < 00:01","0.05289","0.05289","14.56","14.56","23.0","67 m -  150 m","0"
"(2022 EK3)","2023-Aug-12 15:00 ± 1_02:00","0.14545","0.14436","6.46","6.45","25.1","25 m -   56 m","0"
"(2023 PL1)","2023-Aug-12 17:44 ±    00:10","0.14289","0.14004","13.64","13.64","23.3","60 m -  130 m","0"
"(2023 QD5)","2023-Aug-12 21:32 ±    00:03","0.01019","0.01012","22.24","22.23","25.8","18 m -   41 m","0"
"(2023 PP1)","2023-Aug-12 23:48 ±    00:04","0.04287","0.04266","8.41","8.40","25.5","21 m -   47 m","0"
"(2023 QW3)","2023-Aug-13 03:47 ± < 00:01","0.06790","0.06782","7.78","7.77","23.9","44 m -   99 m","0"
"(2023 RQ37)","2023-Aug-13 06:40 ± < 00:01","0.14740","0.14740","4.90","4.89","23.0","67 m -  150 m","0"
"(2023 OX4)","2023-Aug-13 09:58 ± < 00:01","0.06310","0.06296","10.62","10.62","23.9","44 m -   97 m","0"
"(2023 QS6)","2023-Aug-13 12:08 ±    00:13","0.14246","0.14206","4.42","4.42","23.2","60 m -  130 m","0"
"(2023 QF4)","2023-Aug-13 18:16 ±    00:01","0.05127","0.05101","14.71","14.71","23.4","55 m -  120 m","0"
"(2023 PB1)","2023-Aug-13 20:04 ± < 00:01","0.01038","0.01032","15.52","15.50","26.4","14 m -   31 m","0"
"(2015 HM10)","2023-Aug-14 00:24 ± < 00:01","0.19360","0.19360","14.62","14.62","23.6","51 m -  110 m","0"
"(2023 OE5)","2023-Aug-14 01:05 ± < 00:01","0.01033","0.01033","3.87","3.80","26.4","14 m -   32 m","0"
"(2016 SJ35)","2023-Aug-14 01:22 ± 2_18:50","0.19573","0.18920","10.45","10.45","24.6","32 m -   71 m","0"
"(2023 PA1)","2023-Aug-14 08:07 ± < 00:01","0.01685","0.01678","20.24","20.23","25.3","23 m -   51 m","0"
"(2023 PQ)","2023-Aug-14 11:17 ± < 00:01","0.00505","0.00504","14.82","14.78","25.0","26 m -   59 m","1"
"(2023 PS)","2023-Aug-14 20:39 ± < 00:01","0.01697","0.01694","7.86","7.84","26.6","13 m -   29 m","0"
"(2023 PC)","2023-Aug-14 20:54 ± < 00:01","0.03403","0.03400","5.26","5.25","24.6","33 m -   73 m","0"
"(2023 NX1)","2023-Aug-14 22:06 ± < 00:01","0.14470","0.14468","7.94","7.94","22.3","94 m -  210 m","0"
"(2022 JM)","2023-Aug-14 23:02 ±    06:24","0.13119","0.13118","4.41","4.40","28.8","4.6 m -   10 m","0"
"(2023 RD9)","2023-Aug-15 00:23 ±    00:04","0.09590","0.09498","10.58","10.58","23.8","47 m -  100 m","0"
"(2023 QC1)","2023-Aug-15 00:24 ±    00:02","0.08027","0.08017","6.15","6.14","25.2","24 m -   54 m","0"
"(2023 QL2)","2023-Aug-15 09:17 ±    00:01","0.05940","0.05864","5.97","5.97","24.9","28 m -   62 m","0"
"(2021 FD50)","2023-Aug-15 16:28 ± 5_09:07","0.12904","0.12084","7.07","7.07","26.9","11 m -   25 m","0"
"(2023 QH5)","2023-Aug-15 18:05 ± < 00:01","0.03784","0.03778","9.73","9.73","24.6","33 m -   73 m","0"
"(2023 QN1)","2023-Aug-15 19:53 ± < 00:01","0.07764","0.07761","6.31","6.31","24.3","37 m -   83 m","0"
"(2023 PX)","2023-Aug-15 23:30 ± < 00:01","0.03326","0.03312","7.57","7.56","25.9","17 m -   39 m","0"
"(2023 QT4)","2023-Aug-15 23:58 ±    00:02","0.03911","0.03864","18.51","18.50","22.7","76 m -  170 m","0"
"(2023 OV3)","2023-Aug-16 07:16 ± < 00:01","0.17021","0.17021","22.98","22.98","19.4","350 m -  780 m","0"
"(2023 PG)","2023-Aug-16 08:52 ±    00:02","0.06463","0.06411","6.03","6.02","24.5","34 m -   75 m","0"
"(2010 PK9)","2023-Aug-16 11:36 ± < 00:01","0.14707","0.14707","14.31","14.31","21.8","0.143±0.008 km","0"
"(2024 CZ)","2023-Aug-16 12:12 ±    02:37","0.10025","0.10011","5.70","5.69","26.6","13 m -   28 m","0"
"(2023 QQ2)","2023-Aug-16 17:49 ±    00:11","0.07718","0.07529","13.43","13.42","25.1","25 m -   56 m","0"
"(2017 BZ5)","2023-Aug-16 20:01 ± 6_14:38","0.12775","0.09607","21.97","21.97","22.3","93 m -  210 m","0"
"(2023 PH1)","2023-Aug-16 21:57 ± < 00:01","0.01341","0.01338","5.98","5.95","27.7","7.7 m -   17 m","0"
"(2023 QD1)","2023-Aug-17 01:23 ±    00:09","0.00838","0.00834","7.19","7.15","27.3","9.4 m -   21 m","0"
"(2023 EM)","2023-Aug-17 02:51 ±    03:17","0.16935","0.16928","8.79","8.79","25.5","21 m -   48 m","0"
"(2022 CP1)","2023-Aug-17 07:27 ±    02:25","0.03523","0.03370","9.82","9.81","27.4","9.0 m -   20 m","0"
"(2023 FV2)","2023-Aug-17 08:43 ± < 00:01","0.19198","0.19198","15.60","15.60","20.6","200 m -  450 m","0"
"(2023 PE)","2023-Aug-17 10:56 ± < 00:01","0.06741","0.06672","20.69","20.69","22.9","69 m -  150 m","0"
"415745 (2000 GV147)","2023-Aug-17 10:58 ± < 00:01","0.19137","0.19137","10.74","10.74","19.3","360 m -  810 m","0"
"(2023 OE6)","2023-Aug-17 12:56 ± < 00:01","0.17402","0.17402","28.27","28.27","19.8","290 m -  640 m","0"
"(2018 BN6)","2023-Aug-17 13:22 ± 9_21:06","0.17332","0.15360","6.36","6.36","26.8","12 m -   26 m","0"
"(2023 QA2)","2023-Aug-17 20:26 ±    00:03","0.18292","0.18286","6.61","6.60","23.4","56 m -  130 m","0"
"(2023 PZ)","2023-Aug-17 23:32 ± < 00:01","0.00350","0.00350","1.57","0.96","29.1","4.0 m -  8.9 m","0"
"(2023 QA)","2023-Aug-18 08:32 ±    00:05","0.07726","0.07677","12.95","12.95","23.9","43 m -   97 m","0"
"424392 (2007 YJ)","2023-Aug-18 10:56 ± < 00:01","0.14866","0.14866","12.63","12.63","22.1","0.239±0.077 km","0"
"(2023 PD1)","2023-Aug-18 12:30 ±    00:01","0.03928","0.03906","7.49","7.48","25.4","23 m -   50 m","0"
"(2023 QC)","2023-Aug-18 12:40 ± < 00:01","0.00912","0.00912","7.99","7.95","24.7","30 m -   67 m","1"
"(2023 QY)","2023-Aug-18 15:49 ±    00:11","0.00045","0.00044","13.22","12.77","28.6","5.0 m -   11 m","1"
"(2019 UY3)","2023-Aug-18 18:14 ± < 00:01","0.05511","0.05511","6.05","6.04","23.9","44 m -   97 m","0"
"(2016 CL195)","2023-Aug-18 20:11 ± 5_17:56","0.16887","0.06641","21.71","21.71","23.8","46 m -  100 m","0"
"(2015 QK9)","2023-Aug-18 21:54 ± 8_21:23","0.07809","0.01393","18.98","18.98","25.0","26 m -   59 m","0"
"(2023 RA)","2023-Aug-18 23:06 ±    00:22","0.01314","0.01305","10.18","10.16","25.1","25 m -   56 m","0"
"(2023 QP3)","2023-Aug-19 09:10 ±    00:12","0.01054","0.01046","10.86","10.84","27.6","8.2 m -   18 m","0"
"(2023 QE2)","2023-Aug-19 09:18 ±    00:02","0.00273","0.00272","12.38","12.30","27.8","7.4 m -   17 m","0"
"(2011 QJ21)","2023-Aug-19 09:40 ± 5_07:17","0.03316","0.03221","15.05","15.05","24.5","34 m -   76 m","0"
"(2023 QQ1)","2023-Aug-19 10:34 ±    00:29","0.16057","0.15912","5.53","5.53","24.4","36 m -   80 m","0"
"(2023 QT2)","2023-Aug-19 11:44 ± < 00:01","0.05206","0.05141","20.43","20.43","24.7","30 m -   68 m","0"
"(2023 QM7)","2023-Aug-19 13:30 ± < 00:01","0.06179","0.06170","9.73","9.73","22.8","75 m -  170 m","0"
"(2023 QM5)","2023-Aug-19 15:43 ± < 00:01","0.00873","0.00870","4.22","4.14","26.9","11 m -   25 m","0"
"(2023 QZ3)","2023-Aug-19 17:31 ± < 00:01","0.04489","0.04485","7.16","7.15","24.8","29 m -   64 m","0"
"(2023 QS1)","2023-Aug-19 18:22 ± < 00:01","0.00072","0.00072","15.72","15.48","28.6","5.0 m -   11 m","1"
"(2019 FN23)","2023-Aug-20 05:05 ± < 00:01","0.19293","0.19293","2.64","2.63","24.5","33 m -   74 m","0"
"613403 (2006 GB)","2023-Aug-20 07:19 ± < 00:01","0.12828","0.12828","8.09","8.09","20.2","240 m -  530 m","0"
"(2016 ND39)","2023-Aug-20 10:39 ±    15:30","0.12224","0.12127","10.89","10.89","25.2","24 m -   54 m","0"
"(2023 QR)","2023-Aug-20 20:21 ± < 00:01","0.00139","0.00139","20.88","20.79","29.3","3.7 m -  8.2 m","0"
"(2010 LH14)","2023-Aug-20 22:24 ± < 00:01","0.07270","0.07270","11.17","11.17","22.1","0.101±0.017 km","0"
"(2023 QE)","2023-Aug-21 04:53 ±    00:03","0.02218","0.02205","6.54","6.52","27.4","8.8 m -   20 m","0"
"(2023 PC1)","2023-Aug-21 06:23 ± < 00:01","0.06248","0.06210","27.62","27.62","22.2","97 m -  220 m","0"
"(2022 BY39)","2023-Aug-21 08:55 ±    03:08","0.06872","0.06853","2.24","2.22","29.9","2.7 m -  6.1 m","0"
"(2018 KD2)","2023-Aug-21 12:14 ±    00:30","0.05859","0.05813","12.88","12.88","25.7","19 m -   42 m","0"
"(2023 PM1)","2023-Aug-21 16:22 ± < 00:01","0.02090","0.02084","18.57","18.56","23.6","50 m -  110 m","1"
"(2023 QV4)","2023-Aug-21 16:23 ± < 00:01","0.09934","0.09933","7.93","7.93","23.3","58 m -  130 m","0"
"(2023 QB1)","2023-Aug-21 23:10 ± < 00:01","0.00468","0.00467","11.29","11.24","28.9","4.3 m -  9.6 m","0"
"(2019 GJ)","2023-Aug-21 23:30 ±    03:01","0.18488","0.18354","10.06","10.05","24.3","36 m -   81 m","0"
"(2023 QO5)","2023-Aug-22 02:14 ±    00:04","0.00360","0.00359","8.27","8.18","26.9","11 m -   25 m","0"
"(2023 PM)","2023-Aug-22 03:59 ± < 00:01","0.02439","0.02439","6.97","6.95","24.0","43 m -   95 m","0"
"(2023 RM15)","2023-Aug-22 05:38 ±    07:54","0.11121","0.10481","4.40","4.39","25.0","26 m -   59 m","0"
"(2023 QZ)","2023-Aug-22 08:15 ±    00:04","0.03462","0.03438","4.51","4.49","26.9","11 m -   25 m","0"
"414800 (2010 SV3)","2023-Aug-22 08:27 ± < 00:01","0.09070","0.09070","14.91","14.91","20.7","190 m -  420 m","0"
"4769 Castalia (1989 PB)","2023-Aug-22 09:21 ± < 00:01","0.11003","0.11003","18.20","18.20","17.5","1.4 km","1"
"(2023 RJ3)","2023-Aug-22 09:56 ± < 00:01","0.17793","0.17791","15.51","15.51","21.0","170 m -  370 m","0"
"(2023 QX3)","2023-Aug-22 12:57 ± < 00:01","0.08260","0.08245","7.01","7.01","25.2","24 m -   53 m","0"
"(2023 QU1)","2023-Aug-22 18:10 ±    00:01","0.04194","0.04183","5.73","5.72","26.2","16 m -   35 m","0"
"(2023 RC)","2023-Aug-22 20:39 ± < 00:01","0.10139","0.10124","8.85","8.84","23.4","56 m -  120 m","0"
"(2021 RZ3)","2023-Aug-22 23:12 ±    00:11","0.18891","0.18883","7.49","7.49","27.3","9.1 m -   20 m","0"
"(2023 QC7)","2023-Aug-23 04:26 ± < 00:01","0.02207","0.02201","7.57","7.55","23.2","60 m -  130 m","1"
"6037 (1988 EG)","2023-Aug-23 08:18 ± < 00:01","0.04065","0.04065","14.25","14.25","18.9","450 m -  1.0 km","2"
"(2023 QD6)","2023-Aug-23 08:23 ±    00:03","0.09547","0.09379","10.52","10.52","24.8","30 m -   66 m","0"
"(2023 QW)","2023-Aug-23 14:37 ± < 00:01","0.01079","0.01077","16.35","16.33","26.0","17 m -   38 m","0"
"(2023 QQ3)","2023-Aug-23 15:08 ±    00:04","0.13455","0.13445","3.26","3.25","25.2","24 m -   53 m","0"
"(2006 EF1)","2023-Aug-23 18:26 ±    00:06","0.04946","0.04946","11.26","11.26","22.9","69 m -  150 m","0"
"(2023 QO)","2023-Aug-23 20:11 ± < 00:01","0.01654","0.01644","8.79","8.77","27.0","11 m -   24 m","0"
"(2023 QF)","2023-Aug-23 20:12 ± < 00:01","0.00494","0.00493","5.44","5.33","27.3","9.1 m -   20 m","0"
"(2023 QW1)","2023-Aug-23 22:11 ±    00:13","0.14161","0.13987","12.99","12.99","23.9","43 m -   96 m","0"
"(2023 QS2)","2023-Aug-23 23:52 ± < 00:01","0.03228","0.03204","17.65","17.64","25.1","25 m -   55 m","0"
"(2023 QR3)","2023-Aug-24 06:28 ±    00:02","0.14943","0.14925","6.19","6.19","24.4","36 m -   79 m","0"
"(2023 QN2)","2023-Aug-24 08:55 ± < 00:01","0.04899","0.04850","15.43","15.43","24.6","32 m -   71 m","0"
"358744 (2008 CR118)","2023-Aug-24 14:53 ± < 00:01","0.05803","0.05803","12.70","12.70","19.0","420 m -  950 m","1"
"(2023 RT4)","2023-Aug-24 17:02 ±    00:04","0.03288","0.03272","12.04","12.03","24.6","33 m -   73 m","0"
"(2023 QK2)","2023-Aug-24 18:54 ± < 00:01","0.01981","0.01980","4.88","4.86","26.8","12 m -   27 m","0"
"(2023 QN7)","2023-Aug-24 20:42 ±    00:02","0.01083","0.01075","24.23","24.22","23.4","54 m -  120 m","1"
"(2023 QG4)","2023-Aug-25 02:46 ± < 00:01","0.01693","0.01688","24.03","24.02","22.7","77 m -  170 m","1"
"(2022 QT5)","2023-Aug-25 04:01 ±    00:25","0.05734","0.05691","12.02","12.02","25.8","18 m -   40 m","0"
"(2012 GA5)","2023-Aug-25 08:41 ± < 00:01","0.15788","0.15788","5.11","5.11","24.2","39 m -   86 m","0"
"(2023 QC2)","2023-Aug-25 09:49 ± < 00:01","0.02360","0.02349","10.22","10.21","26.1","16 m -   36 m","0"
"(2023 FJ19)","2023-Aug-25 15:49 ± < 00:01","0.12835","0.12835","5.53","5.53","22.3","93 m -  210 m","0"
"(2023 QS7)","2023-Aug-25 18:22 ± < 00:01","0.06201","0.06138","22.32","22.32","21.3","150 m -  330 m","1"
"(2023 PJ)","2023-Aug-25 21:06 ±    00:20","0.16137","0.15801","12.04","12.04","21.8","120 m -  270 m","0"
"(2023 RY9)","2023-Aug-25 22:13 ±    00:22","0.11868","0.11773","7.03","7.03","25.1","25 m -   56 m","0"
"(2018 QY)","2023-Aug-26 00:21 ± < 00:01","0.14166","0.14165","18.78","18.77","22.7","78 m -  170 m","0"
"(2023 QT1)","2023-Aug-26 01:25 ± < 00:01","0.02945","0.02930","10.63","10.63","25.2","24 m -   54 m","0"
"(2023 QO7)","2023-Aug-26 05:55 ± < 00:01","0.01985","0.01975","11.56","11.55","24.3","37 m -   82 m","0"
"(2023 QP)","2023-Aug-26 09:16 ± < 00:01","0.09686","0.09594","14.83","14.82","23.4","55 m -  120 m","0"
"(2005 QQ87)","2023-Aug-26 15:09 ± < 00:01","0.10970","0.10970","19.72","19.72","22.8","72 m -  160 m","0"
"(2007 RR17)","2023-Aug-26 15:54 ± < 00:01","0.02136","0.02136","7.13","7.11","23.8","47 m -  100 m","1"
"(2023 RM19)","2023-Aug-26 22:55 ±    00:01","0.12430","0.12413","9.12","9.12","23.2","60 m -  130 m","0"
"(2020 SV5)","2023-Aug-26 23:42 ± 2_20:43","0.16539","0.16419","12.10","12.10","26.2","15 m -   34 m","0"
"(2023 RO16)","2023-Aug-27 00:34 ± < 00:01","0.03809","0.03808","1.81","1.78","27.9","7.1 m -   16 m","0"
"(2023 RW4)","2023-Aug-27 02:28 ±    00:09","0.04274","0.04243","9.71","9.70","25.9","18 m -   39 m","0"
"(2023 QL7)","2023-Aug-27 03:02 ± < 00:01","0.14822","0.14822","12.65","12.65","20.7","190 m -  430 m","0"
"(2023 QR1)","2023-Aug-27 03:22 ± < 00:01","0.01108","0.01104","5.02","4.97","27.3","9.4 m -   21 m","0"
"(2023 HV3)","2023-Aug-27 03:30 ±    00:02","0.13321","0.13320","3.22","3.21","24.4","34 m -   77 m","0"
"(2023 RE9)","2023-Aug-27 03:43 ±    00:04","0.02337","0.02321","8.24","8.23","26.0","17 m -   38 m","0"
"187026 (2005 EK70)","2023-Aug-27 03:44 ± < 00:01","0.17955","0.17955","17.46","17.45","17.4","900 m -  2.0 km","1"
"(2022 DL)","2023-Aug-27 05:55 ±    11:23","0.06665","0.05763","11.99","11.98","24.6","32 m -   72 m","0"
"(2023 QQ)","2023-Aug-27 09:14 ± < 00:01","0.02737","0.02721","10.11","10.10","25.8","19 m -   42 m","0"
"(2023 QJ5)","2023-Aug-27 13:56 ± < 00:01","0.01172","0.01166","12.21","12.20","27.1","10 m -   23 m","0"
"(2023 RA1)","2023-Aug-27 18:19 ±    00:04","0.04048","0.03971","8.27","8.26","25.5","22 m -   48 m","0"
"(2023 OW1)","2023-Aug-27 18:23 ± < 00:01","0.13334","0.13333","9.20","9.19","22.3","93 m -  210 m","0"
"(2009 SZ99)","2023-Aug-27 19:50 ± < 00:01","0.07599","0.07599","11.73","11.73","19.3","360 m -  810 m","1"
"(2023 QT7)","2023-Aug-27 21:01 ± < 00:01","0.14255","0.14255","7.96","7.95","22.1","100 m -  230 m","0"
"(2023 QZ6)","2023-Aug-27 21:38 ± < 00:01","0.02332","0.02321","17.68","17.68","24.9","28 m -   63 m","0"
"(2023 RT9)","2023-Aug-28 04:09 ±    00:13","0.00803","0.00795","15.13","15.11","25.1","26 m -   58 m","1"
"(2022 RA)","2023-Aug-28 21:14 ±    01:09","0.05614","0.05190","9.88","9.87","27.9","7.0 m -   16 m","0"
"(2023 RQ16)","2023-Aug-28 22:13 ±    00:24","0.00994","0.00975","8.69","8.66","26.2","15 m -   35 m","0"
"(2018 PD22)","2023-Aug-29 00:16 ± 4_19:51","0.13586","0.03885","18.09","18.09","24.2","38 m -   84 m","0"
"(2023 RN15)","2023-Aug-29 03:18 ±    00:46","0.10322","0.10001","5.81","5.81","24.9","28 m -   62 m","0"
"(2007 SG11)","2023-Aug-29 07:16 ± < 00:01","0.10205","0.10205","7.38","7.38","22.7","77 m -  170 m","0"
